prompt_index,clip_new_prompt_sim,clip_old_image_sim,clip_old_image_distance
1,0.31316679760813715,0.8527118933200836,0.5056218554079532
2,0.3168927752971649,0.8394752889871597,0.5245934768021107
3,0.3114785271883011,0.8543043601512909,0.5002040065079928
4,0.32326471343636515,0.8142948600649834,0.5631680347025394
5,0.32034377530217173,0.8518510934710503,0.49847981974482536
6,0.314691960811615,0.8539918380975723,0.49449138879776
7,0.3250687925517559,0.8334574753046036,0.5369486279785634
8,0.30108912631869317,0.8612400370836258,0.4848316905647516
9,0.31063267454504967,0.8766739332675934,0.4565146742016077
10,0.3216485668718815,0.8581562608480453,0.4928844721615315
