prompt_index,clip_new_prompt_sim,clip_old_image_sim,dino_struct_dist
1,0.3045191287994385,0.9173850351572037,0.022282750082667918
2,0.3056682176887989,0.8952776861190795,0.02365312378387898
3,0.3068468689918518,0.9238803189992905,0.018278744203271344
4,0.3186073252558708,0.8789431858062744,0.028702143777627497
5,0.30419119909405706,0.9128970658779144,0.022753120762645268
6,0.3136917406320572,0.9150423377752304,0.021424526596674695
7,0.3171822303533554,0.9091652309894562,0.0231150532187894
8,0.30233553409576414,0.9065097165107727,0.022464216345688327
9,0.29925061509013173,0.9197766661643982,0.016875649154535495
10,0.30837179750204086,0.9118044638633728,0.021830723679158837
